Branch,Segment_Index,Distance_km,Area_km2,Runoff_C,Is_Polder_Zone,Q_lat_base_m3_s,NH4_conc_base_mg_L,NO3_conc_base_mg_L,PO4_conc_base_mg_L,TOC_conc_base_mg_L,DIC_conc_base_mg_L,SPM_conc_base_mg_L
Tien_Lower,25,50,2.0,0.425,True,0.0017,3.35,6.1,0.91,24.0,14.9,83.0
Tien_Connector,0,0,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,0,1,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,1,2,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,1,3,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,2,4,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,2,5,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,3,6,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,3,7,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,4,8,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,4,9,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,5,10,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,5,11,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,6,12,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,6,13,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,7,14,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Tien_Connector,7,15,2.0,0.443,True,0.00177,3.75,6.05,0.95,25.75,15.0,85.5
Co_Chien,0,0,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,0,1,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,1,2,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,1,3,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,2,4,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,2,5,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,3,6,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,3,7,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,4,8,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,4,9,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,5,10,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,5,11,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,6,12,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,6,13,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,7,14,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,7,15,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,8,16,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,8,17,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,9,18,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,9,19,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,10,20,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,10,21,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,11,22,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,11,23,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,12,24,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,12,25,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,13,26,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,13,27,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,14,28,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,14,29,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,15,30,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,15,31,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,16,32,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,16,33,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,17,34,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,17,35,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,18,36,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,18,37,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,19,38,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,19,39,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,20,40,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,20,41,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,21,42,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,21,43,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,22,44,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,22,45,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,23,46,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,23,47,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,24,48,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,24,49,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,25,50,2.0,0.43,True,0.00172,3.67,6.15,0.99,27.5,15.35,87.0
Co_Chien,25,51,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,26,52,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,26,53,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,27,54,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,27,55,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,28,56,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,28,57,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,29,58,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,29,59,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,30,60,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,30,61,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,31,62,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,31,63,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,32,64,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
Co_Chien,32,65,2.0,0.565,True,0.00226,4.77,4.61,1.2,50.0,23.9,116.0
